number_features,number_deficient_repair_samples_per_feature,total_number_wildtype_samples,mutrate_fully_unrepaired_bins,mutrate_fully_repaired_bins
2,10,100,0.0000010,0.0000000010
2,10,100,0.0000010,0.0000000100
2,10,100,0.0000010,0.0000001000
2,10,100,0.0000100,0.0000000001
2,10,100,0.0000100,0.0000000010
2,10,100,0.0000100,0.0000000100
2,10,100,0.0000100,0.0000001000
2,10,100,0.0001000,0.0000000001
2,10,100,0.0001000,0.0000000010
2,10,100,0.0001000,0.0000000100
2,10,100,0.0001000,0.0000001000
2,10,200,0.0000001,0.0000000001
2,10,200,0.0000001,0.0000000010
2,10,200,0.0000001,0.0000000100
2,10,200,0.0000001,0.0000001000
2,10,200,0.0000010,0.0000000001
2,10,200,0.0000010,0.0000000010
2,10,200,0.0000010,0.0000000100
2,10,200,0.0000010,0.0000001000
2,10,200,0.0000100,0.0000000001
2,10,200,0.0000100,0.0000000010
2,10,200,0.0000100,0.0000000100
2,10,200,0.0000100,0.0000001000
2,10,200,0.0001000,0.0000000001
2,10,200,0.0001000,0.0000000010
2,10,200,0.0001000,0.0000000100
2,10,200,0.0001000,0.0000001000
2,20,25,0.0000001,0.0000000001
2,20,25,0.0000001,0.0000000010
2,20,25,0.0000001,0.0000000100
2,20,25,0.0000001,0.0000001000
2,20,25,0.0000010,0.0000000001
2,20,25,0.0000010,0.0000000010
2,20,25,0.0000010,0.0000000100
2,20,25,0.0000010,0.0000001000
2,20,25,0.0000100,0.0000000001
2,20,25,0.0000100,0.0000000010
2,20,25,0.0000100,0.0000000100
2,20,25,0.0000100,0.0000001000
2,20,25,0.0001000,0.0000000001
2,20,25,0.0001000,0.0000000010
2,20,25,0.0001000,0.0000000100
2,20,25,0.0001000,0.0000001000
2,20,50,0.0000001,0.0000000001
2,20,50,0.0000001,0.0000000010
2,20,50,0.0000001,0.0000000100
2,20,50,0.0000001,0.0000001000
2,20,50,0.0000010,0.0000000001
2,20,50,0.0000010,0.0000000010
2,20,50,0.0000010,0.0000000100
2,20,50,0.0000010,0.0000001000
2,20,50,0.0000100,0.0000000001
2,20,50,0.0000100,0.0000000010
2,20,50,0.0000100,0.0000000100
2,20,50,0.0000100,0.0000001000
2,20,50,0.0001000,0.0000000001
2,20,50,0.0001000,0.0000000010
2,20,50,0.0001000,0.0000000100
2,20,50,0.0001000,0.0000001000
2,20,100,0.0000001,0.0000000001
2,20,100,0.0000001,0.0000000010
2,20,100,0.0000001,0.0000000100
2,20,100,0.0000001,0.0000001000
2,20,100,0.0000010,0.0000000001
2,20,100,0.0000010,0.0000000010
2,20,100,0.0000010,0.0000000100
2,20,100,0.0000010,0.0000001000
2,20,100,0.0000100,0.0000000001
2,20,100,0.0000100,0.0000000010
2,20,100,0.0000100,0.0000000100
2,20,100,0.0000100,0.0000001000
2,20,100,0.0001000,0.0000000001
2,20,100,0.0001000,0.0000000010
2,20,100,0.0001000,0.0000000100
2,20,100,0.0001000,0.0000001000
2,20,200,0.0000001,0.0000000001
2,20,200,0.0000001,0.0000000010
2,20,200,0.0000001,0.0000000100
2,20,200,0.0000001,0.0000001000
2,20,200,0.0000010,0.0000000001
2,20,200,0.0000010,0.0000000010
2,20,200,0.0000010,0.0000000100
2,20,200,0.0000010,0.0000001000
2,20,200,0.0000100,0.0000000001
2,20,200,0.0000100,0.0000000010
2,20,200,0.0000100,0.0000000100
2,20,200,0.0000100,0.0000001000
2,20,200,0.0001000,0.0000000001
2,20,200,0.0001000,0.0000000010
2,20,200,0.0001000,0.0000000100
2,20,200,0.0001000,0.0000001000
4,1,25,0.0000001,0.0000000001
